"id","question_text","description"
78,"お辞儀には、「会釈」「敬礼」「最敬礼」の3種類があります。

「最敬礼」をするとき、上体を倒す角度は何度が目安でしょうか？","軽い挨拶に使う「会釈」は15度、基本の挨拶に使う「敬礼」は30度、改まった場で使う「最敬礼」は45度、上体を倒すのが目安です。"
79,"【A：おっしゃる　B：申し上げる　C：お食べになる】

上記の言葉について、正しい組み合わせはどれでしょうか？","「おっしゃる」は相手、「申し上げます」は自分、「お食べになる」は相手が主語になっています。"
80,"ドアのノックの回数として正しいものはどれでしょうか？","ビジネスの場では、ノックは3～4回が正しいとされています。

日本では3回のノックが一般的とされることも多いのですが、世界的に見た場合は4回のノックが適切とされています。

2回のノックはトイレでのノックの回数になるため注意しましょう。"
81,"名刺の渡し方として正しいのはどれでしょうか？","名刺を両手で持って相手に読める向きで渡すのが、正しい名刺の渡し方だとされています。"
82,"相手に名刺を渡す際に、向き以外に意識すると良いことはどれでしょうか？","相手が出した名刺より低い位置から渡すことで、敬意を表すことができるとされています。"
83,"葬式と結婚式の日が重なってしまった場合、どちらを優先すると良いでしょうか？","結婚式などの祝い事の場合は、その場は出席できなくても別の形で埋め合わせができないわけではありません。

しかし、葬式の場合はそうはいきません。

そのため、一般的には葬式を優先する方が良いとされています。"
84,"訪問先でトイレを借りた場合、やってはいけないことはなんでしょうか？","「トイレットペーパーを三角形に折る」という行為は、清掃スタッフが掃除が完了したサインとして行うものです。

ビジネスでの訪問先に限らず、自宅以外でトイレを使った際にトイレットペーパーを三角形に折るのは止めましょう。"
85,"会社の廊下で来客とすれ違いました。この時の挨拶として正しいものはどれでしょうか？","「お疲れ様です」は、社員同士の挨拶として使うのが一般的です。

社外の人に対しては「こんにちは」で問題ないでしょう。"
86,"履歴書を送る際の封筒について正しいものはどれでしょうか？","インターネットで検索をすると「白色の封筒がおすすめ」という情報が出てきます。

これは間違いではありませんが、茶色の封筒を使ってもマナー違反というわけではありません。

採用担当者も多くの場合は、封筒が白色か茶色かなんて気にしないでしょう。

ただし、左下に朱書きで「履歴書在中」と書くのを忘れないようにしましょう。"
87,"医師へ文書を送る際の宛名として最も適切なものはどれでしょうか？","医師に宛てた手紙には、「御机下（ごきか・おんきか）」という言葉がよく使われます。

「先生に直接渡すのは恐れ多いので、机の下に置かせていただきます」という医師を尊敬する気持ちを込めた言葉です。"
88,"上司である鈴木課長宛てに電話がかかってきましたが、今は席を外しています。

この時の対応として正しいものはどれでしょうか？","社内の人間のことを外部の人に言う際には、上司であっても敬称や役職はつけません。

その後、こちらから折り返す旨などを提案できると良いでしょう。"
89,"名刺交換をした相手の名前が珍しく、読めませんでした。

その際の対応として正しいものはどれでしょうか？","名刺交換はお互いの名前を確認するものであるため、名前が読めない時は尋ねてもマナー違反にはなりません。

読めないままにしておいて間違える方が失礼です。

「失礼ですが～」と一言添えて聞きましょう。"
90,"「とっくり」という衣服は、今はなんと呼ばれているでしょうか？","昭和の時代に「とっくり」と呼んでいた衣服は、今は「タートルネック」と呼ばれています。

タートルネック（とっくり）とは、首回りに丸く高いエリをもつ衣類を指す言葉です。

昔は、お酒を入れる「徳利（とっくり）」に形が似ていることから、「とっくり」と呼ばれていました。

現在は、カメ甲羅から首を出している様子にも似ていることから「タートルネック」と呼ばれるようになりました。"
91,"「短パン」という衣服は、今はなんと呼ばれているでしょうか？","昭和の時代に「短パン」と呼んでいた衣服は、今は「ショートパンツ」と呼んでいます。

「ショート」は「短い」という意味なので、そのまま英語にしただけですね。"
92,"「ズボン」は、今はなんと呼ばれているでしょうか？","近年では、「ズボン」のことを「パンツ」と呼ぶようになっています。

下着の「パンツ」呼び名が同じなので、ちょっと紛らわしいような気もしますね。"
93,"「白墨（はくぼく）」は、今はなんと呼ばれているでしょうか？","昔は、チョークのことを「白墨（はくぼく）」と呼んでいた時代がありました。

昔、文字を書く時には筆と墨が使われていたことを考えるとおかしくはないネーミングだったのではないでしょうか。"
94,"「帳面（ちょうめん）」は、今はなんと呼ばれているでしょうか？","昔は、ノートのことを「帳面（ちょうめん）」と呼んでいた時代がありました。

帳面は、「物を書くために、何枚かの紙をとじて作ったもの」という意味であり今でも使われることがある言葉ですが、耳にする機会は少なくなっているでしょう。"
95,"「ズック」は、今はなんと呼ばれているでしょうか？","江戸時代後期、オランダから「ズック生地（厚手の生地）」の洋服が伝わりました。

その生地で靴なども作られたことから、靴のことを「ズック」と呼んでいました。

今でも地域によっては学校で使われる上履きを「ズック」と呼ぶことがあります。"
96,"「襟巻き」は、今はなんと呼ばれているでしょうか？","昔は、マフラーのことを「襟巻き」と呼んでいた時代がありました。

マフラーだけではなく、スカーフなど首に巻くものをまとめて「襟巻き」と呼んでいました。"
97,"「板の間」は、今はなんと呼ばれているでしょうか？","昔の日本の家は畳の部屋ばかりなのが当たり前でしたが、戦後になると木の床の部屋（洋室）の普及が進みました。

床が木の板であることから、しばらくの間は「板の間」と呼ばれていました。"
98,"「大リーグ」は、今はなんと呼ばれているでしょうか？","アメリカでは、メジャーリーグの別名として「ビッグリーグ」という呼び名が使われることがあります。

そのことから、日本では「大リーグ」という呼び名が使われるようになりました。"
99,"「メリケン粉」は、今はなんと呼ばれているでしょうか？","「メリケン」とは、アメリカ人のことです。

昔はアメリカから輸入されてきた小麦粉のことを、メリケン粉と呼んでいました。

今でも関西などの一部地域では小麦粉の別名として「メリケン粉」という名前を使うことがあります。"
100,"「お勝手」は、今はなんと呼ばれているでしょうか？","昔は、キッチン（台所）のことを「お勝手」と呼んでいました。

「お勝手」という呼び方はしなくなりましたが、今でもキッチンから外に通じるドアのことは「勝手口」と呼んでいますね。"
101,"「カツラ」は、今はなんと呼ばれているでしょうか？","「カツラ」という言葉はまだ現在でも使われていますが、「ウィッグ」という言葉が普及してきています。

基本的には同じものですが…

「カツラ」は「毛が少ないのを隠すもの」
「ウィッグ」は「おしゃれ目的で衣服に合わせてつけるもの」
といった使い分けがされています。"
102,"「プータロー」は、今はなんと呼ばれているでしょうか？","昔は、働かない人のことを「プータロー」と呼んでいました。

現在は「Not in Education, Employment, or Training（学校に通わず、働きもせず、職業訓練も受けない）」の頭文字をとって「NEET（ニート）」と呼ぶのが一般的になっています。

ちなみに…定年退職をしている人は、今は仕事をしていなくても「ニート」には当てはまりません。"
103,"「水玉模様」は、今はなんと呼ばれているでしょうか？","「ドット」は、「水玉模様」という意味の英語です。

単純に英語で呼ぶ人が多くなっただけであり、「水玉模様」と呼んでも間違いではありません。"
104,"「迷彩柄」は、今はなんと呼ばれているでしょうか？","迷彩柄は、敵の目を欺くためのカモフラージュ技術です。

現在はファッションとしても人気があるため、ファッションの分野では「カモフラ」と呼ぶことが増えてきています。"
105,"「魔法瓶」は、今はなんと呼ばれているでしょうか？","中に入れた物の温度を一定に保つ「魔法瓶」は、今は「ジャー」または「ポット」と呼ばれています。

「魔法瓶」という言葉も有名ではありますが、現在ではその呼び名に馴染みがない人も増えてきているようです。"
106,"「ジーパン」は、今はなんと呼ばれているでしょうか？","「ジーパン」は、今は「デニム」や「ジーンズ」と呼ばれています。

今どきの若い人達の間では、「ジーパン」という呼び名は古臭いものになってしまっているようです。"
107,"「チャック」は、今はなんと呼ばれているでしょうか？","現在も「チャック」という言葉が全く通じないわけではないかと思いますが、「ファスナー」や「ジッパー」と呼ぶように変わってきています。

小さい子に「静かにするように」と言いたい時つい、「お口にチャック」と言ってしまう人もいるのではないでしょうか。"
108,"「麦わら帽子」は、今はなんと呼ばれているでしょうか？","「麦わら帽子」という呼び名は今でも十分通用しますが、麦わら帽子もお洒落なものが登場するようになり「ストローハット」という呼び名が定着してきています。

「ストロー」と聞くと飲み物を飲む時に使う道具が思い浮かぶかもしれませんが、「麦わら」という意味もあります。"
109,"「ヒョウ柄」は、今はなんと呼ばれているでしょうか？","「ヒョウ柄」という言葉は今でも使われていますが、「ヒョウ柄」を指す新しい言葉として「レオパード」が使われるようになってきました。

レオパードには「ヒョウ」または「ヒョウの毛皮」という意味があります。

ほぼ英語で言い換えただけだと思っても良いでしょう。"
110,"「保母さん」は、今はなんと呼ばれているでしょうか？","保育園の先生は女性が多い印象の仕事ですが、「保母さん」と呼ばれていた時代は女性が多いと言うより、女性しかなれない仕事でした。

後に男性でも就ける仕事になったことで、男性の保育園の先生は「保父さん」と呼ばれるようになりました。

さらに、その後に男女の区別がない「保育士」という名前になりました。"
111,"「衣紋掛け（えもんかけ）」は、今はなんと呼ばれているでしょうか？","「衣紋掛け（えもんかけ）」は、今で言う「ハンガー」のことです。

しかし、「衣紋掛け」という呼び名が完全に消えてしまったわけではなく、和服をかけておくための専用の道具のことを「衣紋掛け」と呼ぶことがあります。"
112,"「肌色」は、今はなんと呼ばれているでしょうか？","肌の色は国や人種によって様々であることから、昔は「肌色」と呼ばれていた色は「うすだいだい色」と呼ばれるようになりました。"
113,"「エアーズロック」は、今はなんと呼ばれているでしょうか？","ウルルは、オーストラリアにある山のように巨大な一枚岩のことです。

観光地として有名ですが、先住民にとっては神聖な場所です。

「エアーズロック」という名前は、その存在をヨーロッパに紹介した旧南オーストラリア植民地総督のヘンリー・エアーズにちなんだものでした。

今は先住民の呼び方である「ウルル」と呼ぶように変わってきています。"
114,"「成人病」は、今はなんと呼ばれているでしょうか？","生活習慣病とは、食事・運動・喫煙・飲酒などの生活習慣が大きく関わっている病気です。

年齢だけではなく、生活習慣が大きく関わっており生活習慣によっては子どもでも発症する可能性があります。

そのようなことから大人だけがかかるというイメージの名前の「成人病」から、「生活習慣病」という名前に変更されました。

糖尿病や腎不全・心疾患などが当てはまります。"
115,"「NHK教育テレビ」は、今はなんと呼ばれているでしょうか？","「Eテレ」の「E」には、英語で教育を意味する「educational（エデュケーショナル）」、放送時間短縮などに取り組んでいることから「ecology（エコロジー）」の意味が込められています。"
116,"「自殺点」は、今はなんと呼ばれているでしょうか？","「オウンゴール」とは、サッカーなどで自分のチームのゴールに入れて相手に点を与えてしまうことです。

「自殺点」という表現は不適切ということで、日本でも英語での呼び方の「own goal」に準じて「オウンゴール」と呼ぶようになりました。"
117,"「ロスタイム」は、今はなんと呼ばれているでしょうか？","「アディショナルタイムとは」、サッカーで「試合が中断された分を延長する時間」のことを指しています。

以前の呼び名である「ロスタイム」が和製英語であったことから、海外に合わせる形で「アディショナルタイム」という呼び方に統一されました。"
118,"「官製はがき」は、今はなんと呼ばれているでしょうか？","郵政事業が民営化されたことで「官」の字は使われなくなり、「郵便はがき」という呼び方に変更されました。"
119,"「シンクロナイズドスイミング」は、今はなんと呼ばれているでしょうか？","曲や人に同調することを意味する「シンクロナイズド」が芸術性を求める演技にふさわしくないことから、「アーティスティックスイミング」という呼び名に変更されました。"
120,"最も危険なマルウエアEmotetの化身とは？
「世界で最も危険」と評されていたEmotetマルウエアが2021年1月、海外の捜査機関によって壊滅させられました。これにより企業は一安心できるかと思われましたが、すでにEmotet以外のマルウエアを使ったサイバー攻撃が活発になっています。

セキュリティー企業などが「Emotetの化身」と表現するマルウエアを次の中から選んでください。","IcedIDを使ったサイバー攻撃が急増しています。米Uptycsは2021年に入ってから3月末までの3カ月間で攻撃に使われた4000件を超える文書ファイルを確認し、1万5000件を超える不正な通信先を特定したとしています。

IcedIDがEmotetの化身といわれる理由は、Emotetと攻撃手法が似ているからです。どちらのマルウエアもパスワード付きの圧縮ファイルにした文書ファイルをメールで送り付け、受信者が文書ファイルに含まれるマクロを実行することで感染することが知られています。"
121,"VT4Browsersで利用するサービスは？
2021年1月下旬から2月上旬にかけて慶応義塾大学や関西学院大学、日本医科大学など複数の国公立・私立大学が、Webブラウザーのプラグイン「VT4Browsers」に関する注意喚起を出しました。セキュリティーツールであるVT4Browsersの利用が機密情報の流出につながったので利用に注意を促すものでした。

VT4Browsersは、Webブラウザー上でマルウエア検査サービスを利用するためのプラグインです。このマルウエア検査サービスとは何でしょうか。","VirusTotalは利用者がアップロードしたファイルをトレンドマイクロや米McAfee（マカフィー）、ロシアKaspersky（カスペルスキー）など70ほどのセキュリティーベンダーのツールで解析した結果を返すサービスです。このアップロードしたファイルはマルウエアの解析などの目的でVirusTotalの会員制専門家コミュニティーで共有されます。

VT4Browsersを有効にしたWebブラウザーでサイトにアクセスすると、そのサイトのファイルなどがVirusTotalに自動でアップデートされます。これが機密情報の流出につながりました。"
122,"国際標準だった暗号方式の脆弱性を見つけたのは誰？
共通鍵暗号方式「OCB2」が2018年、ISOなどの国際標準規格から除外されました。NECの社員が、わずかな計算量でOCB2の暗号文を解読する方法を見つけたからです。

解読方法を見つけた社員はどのような人だったでしょうか。","OCB2は2004年に米国の暗号研究者によって提案された認証暗号技術でした。数学的な安全性証明がエレガントだということで、暗号研究者たちからは高く評価されていました。

NEC入社2年目の研究者はそのOCB2の改良案の安全性を証明しようとしたとき、OCB2そのものの安全性証明が間違っているのではないか思ったそうです。そこから証明の誤りに気づき、わずかな計算量でOCB2の暗号文を解読する方法を見つけました。"
123,"内閣府の個人情報流出の原因は？
内閣府は2021年4月、231人分の個人情報が流出した可能性があると発表しました。利用していたファイル共有ストレージ製品が外部からアクセスできるようになっていたからです。

どうして外部からアクセスできるようになっていたのでしょうか。","内閣府が使用していたソリトンシステムズのファイル共有ストレージ「FileZen」の脆弱性を突かれて、外部からファイルを操作できるようになっていました。"
124,"コロナ感染者の個人情報はどうして流出した？
2020年5月から2021年1月までの間に地方自治体から新型コロナウイルス感染者の個人情報が流出する事件が多数発生しています。発生したのは愛知県や奈良県、福岡県、盛岡市、横浜市、名古屋市、神戸市などです。

個人情報流出の原因はさまざまですが、上に挙げた愛知県や奈良県、福岡県、盛岡市、横浜市、名古屋市、神戸市の流出原因でないものは次のうちどれでしょう。","コロナ感染者の個人情報は本来であれば慎重に取り扱わなければならないはずですが、どの流出も担当者の「うっかりミス」が原因でした。マルウエア感染など、サイバー攻撃がきっかけで流出した事故は確認できていません。"
125,"Emotet壊滅の作戦名は？
海外の複数の捜査機関が2021年1月下旬、猛威を振るっていたマルウエア「Emotet」を共同で壊滅状態にしました。

このときの作戦名にはある昆虫の名前が使われていました。その昆虫とは何でしょうか？","Emotetの壊滅作戦では、Emotetに感染したパソコンに指令を送っていたC＆Cサーバーを特定し、世界中にあったC＆Cサーバーを一斉に押収しました。この作戦名が「Operation LadyBird（てんとう虫作戦）」です。

どうしててんとう虫が使われたかは分かっていません。次のリンクの記事にはてんとう虫作戦のマークが載っています。てんとう虫の背中には、この作戦に参加した国の国旗が黒点の代わりに描かれています。"
126,"ランサムウエアの「二重脅迫型」とは？
感染したコンピュータ内のハードディスクに保存されたファイルを暗号化して、元に戻す情報と引き換えに身代金を要求するマルウエアをランサムウエアと言います。ランサムウエアの中にはデータの暗号化に加えて、別の脅迫で金銭を要求するものがあります。これを「二重脅迫型」と呼びます。

二重脅迫型のランサムウエアはどうやって脅迫するのでしょうか。","二重脅迫型ランサムウエアは「暴露型」とも呼ばれ、感染したコンピュータのデータを暗号化するとともにそのデータを盗んでいきます。身代金を支払わないとデータが戻ってこないばかりかデータを公開されてしまうため、その被害は計り知れないものになります。"
127,"個人情報が流出した東京ガスのサービスは？
東京ガスが2021年1月30日、不正アクセスによって同社が運営するサービスの会員情報に含まれるメールアドレス1万365件が流出したと発表しました。

会員データが流出した同社のサービスとはどんなサービスだったでしょうか？","東京ガスは男性のキャラクターが癒やしと効果的な入浴方法の情報を伝えるスマートフォン向け恋愛ゲーム「ふろ恋 私だけの入浴執事」を提供していました。不正アクセスにより、この会員データが流出しました。"
128,"ランサムウエア被害のカプコンの侵入口はどこ？
カプコンは2021年4月13日、2020年11月に受けた不正アクセス被害の調査結果を発表しました。同社は二重脅迫型ランサムウエアの被害に遭っていました。

調査結果によれば、攻撃の侵入口が特定できたそうです。それは何だったでしょうか？","攻撃の侵入口はVPN装置でした。コロナ禍においてテレワーク勤務を推進していた同社は、急増したVPN利用者に対応するため緊急対応で旧型のVPN装置を利用したことが被害につながりました。"
129,"フィッシングサイトに使われるのはどこの証明書？
安心できるWebサイトを運用するために欠かせないTLS／SSLサーバー証明書は、アクセスした人をだますために設置されたフィッシングサイトにも利用されています。サーバー証明書を利用していないWebサイトにアクセスしようとすると、Webブラウザーが警告を表示するようになったからです。

多くのフィッシングサイトでは無料で発行されるサーバー証明書を利用しています。その発行元はどこでしょうか？","サーバー証明書の発行には費用がかかるのが一般的です。しかし、米Internet Security Research Groupが運営する「Let's Encrypt（レッツエンクリプト）」は、暗号化通信の普及のために米Cisco Systems（シスコシステムズ）や米Facebook（フェイスブック）、米Amazon Web Services（アマゾン・ウェブ・サービス）、米IBMなど大手IT企業がスポンサーになっているため、無料で発行しています。皮肉なことに、フィッシングサイトにも無料で発行されたLet's Encryptのサーバー証明書が使われています。"
